firstname,surname,email,phone,olp23_ballot1,dob,street_address,municipality,postcode,Gender,organizer,comms_consent,division_electoral_district
Taylor,Whitaker,taylor.whitaker048@demoapp.dev,5552631939,Nate Erskine-Smith,,607 Maple Blvd,Toronto,M4L 3Y2,,,TRUE,Beaches—East York
Riley,Kensington,riley.kensington060@sandbox.net,5557295719,Nate Erskine-Smith,,531 Hawthorn Pl,,,,,TRUE,
Harper,Thatcher,harper.thatcher116@example.com,5552055538,Nate Erskine-Smith,1940-10-18,158 Laurel Blvd,Collingwood,L9Y 3Y9,,,TRUE,Simcoe—Grey
Sloane,Thatcher,sloane.thatcher001@demoapp.dev,5553809841,Nate Erskine-Smith,1947-11-09,334-681 Spruce Ave,Toronto,M4E 2R5,,,TRUE,Beaches—East York
Finley,Callaghan,finley.callaghan183@example.com,5551822389,Nate Erskine-Smith,1987-11-03,673 Cedar St,Etobicoke,M9B 2S6,,,TRUE,Etobicoke Centre
Sloane,Bennett,sloane.bennett095@sandbox.net,5558980140,Nate Erskine-Smith,1961-11-23,849 Spruce Rd,Toronto,M4B 1J6,,,TRUE,Beaches—East York
Lennon,Whitaker,lennon.whitaker175@sandbox.net,5557511494,Nate Erskine-Smith,1987-05-02,926 Elm Dr,Toronto,M5V 3P7,,,TRUE,Spadina—Harbourfront
Hayden,Ramsey,hayden.ramsey225@samplemail.com,5558540483,Nate Erskine-Smith,1985-05-18,922 Ash Way,Ottawa,K2P 0A5,,,TRUE,Ottawa Centre
Parker,Gallagher,parker.gallagher162@demoapp.dev,5555834807,Nate Erskine-Smith,1979-05-10,271 Magnolia Rd,Oakville,L6L 1P1,,,TRUE,Oakville West
Taylor,Winslow,taylor.winslow214@demoapp.dev,5551916464,Nate Erskine-Smith,1988-03-06,949 Ash Ln,North York,M3C 2Z6,,,TRUE,Don Valley West
Dakota,Ramsey,dakota.ramsey155@sandbox.net,5557668080,Nate Erskine-Smith,2000-03-04,177 Poplar Terr,Ottawa,K1N 5E3,,,TRUE,Ottawa—Vanier—Gloucester
Harper,Sterling,harper.sterling235@example.com,5554457589,Nate Erskine-Smith,1947-03-28,252 Sycamore Ln,Kitchener,N2P 2A9,Male,,TRUE,Kitchener South—Hespeler
Lennon,Jamison,lennon.jamison139@samplemail.com,5554635268,Nate Erskine-Smith,1972-06-09,241 Willow Ave,Whitby,L1P 1M1,,,TRUE,Whitby
Reese,Bennett,reese.bennett142@example.com,5550055275,Nate Erskine-Smith,1950-06-07,130-619 Birch St,Scarborough,M1N 1W6,,,TRUE,Scarborough Southwest
Lennon,Thatcher,lennon.thatcher235@sandbox.net,5552456137,Nate Erskine-Smith,1948-06-29,456 Spruce Ave,Scarborough,M1V 1Y5,,,TRUE,Scarborough North
Dakota,Gallagher,dakota.gallagher051@testmail.org,5554190698,Nate Erskine-Smith,1952-06-19,941 Hemlock Ave,Newmarket,L3Y 5V6,,,TRUE,Newmarket—Aurora
